ticker,entrada_data,entry,stop,alvo,saida_data,R
DUK,2019-08-27,69.97,66.49,80.41,2019-11-11,-1.0
DUK,2021-08-16,88.92,79.82,116.21,2021-09-28,-1.0
DUK,2022-04-20,97.09,95.28,102.54,2022-04-25,-1.0
DUK,2023-04-17,86.04,82.61,96.32,2023-05-17,-1.0
DUK,2023-12-11,86.17,77.36,112.57,2024-03-08,0.07
DUK,2024-05-21,96.34,89.09,118.1,2024-08-16,1.14
DUK,2025-07-14,112.96,110.53,120.22,2025-08-05,3.0
DUK,2025-07-18,113.42,111.05,120.55,2025-08-05,3.0
DUK,2025-07-30,115.4,111.05,128.44,2025-10-23,1.74
DUK,2026-03-12,129.55,117.39,166.04,2026-06-08,-0.7
EQTL3.SA,2017-07-24,9.38,8.93,10.71,2017-09-12,3.0
EQTL3.SA,2017-08-18,9.97,9.73,10.7,2017-09-11,3.0
EQTL3.SA,2017-11-21,10.71,9.77,13.55,2018-02-16,0.97
EQTL3.SA,2017-11-24,10.82,9.77,14.0,2018-02-21,0.9
EQTL3.SA,2018-01-02,10.88,10.44,12.19,2018-03-05,3.0
EQTL3.SA,2019-05-28,14.1,13.38,16.26,2019-07-08,3.0
EQTL3.SA,2019-06-13,15.12,13.75,19.21,2019-09-09,0.72
EQTL3.SA,2019-06-19,15.42,13.75,20.4,2019-09-13,0.99
EQTL3.SA,2020-01-17,20.87,19.38,25.37,2020-03-09,-1.0
EQTL3.SA,2020-11-27,19.1,17.48,23.97,2021-02-26,-1.0
EQTL3.SA,2021-05-21,22.94,20.49,30.29,2021-08-17,-0.85
EQTL3.SA,2022-02-15,21.83,19.15,29.88,2022-05-16,0.18
EQTL3.SA,2022-08-04,23.37,20.13,33.09,2022-10-31,1.23
EQTL3.SA,2023-04-06,25.21,22.0,34.82,2023-07-05,1.6
EQTL3.SA,2023-07-05,30.34,27.25,39.59,2023-09-28,-0.21
EQTL3.SA,2023-12-05,31.82,31.12,33.93,2024-02-14,-1.0
EQTL3.SA,2025-04-23,32.63,30.41,39.29,2025-07-18,0.09
EQTL3.SA,2025-05-08,35.3,31.36,47.14,2025-08-01,-0.6
GS,2017-01-03,197.05,191.99,212.22,2017-01-18,-1.0
GS,2019-11-27,189.47,183.9,206.16,2019-12-03,-1.0
GS,2020-01-06,199.94,195.42,213.47,2020-01-16,3.0
GS,2020-05-26,168.58,142.18,247.77,2020-08-19,0.27
